order_id,symbol,order_side,size,price,status,created_at
30,,,,,CLOSED,1693975008
31,BTC-USDT,BUY,0.9,33950.0,OPEN,1693976208
32,BTC-USDT,SELL,0.87,34045.0,OPEN,1693976308
32,,,,,CLOSED,1693973808
33,BTC-USDT,SELL,0.71,34030.0,OPEN,1693976408
33,,,,,CLOSED,1693973708
34,BTC-USDT,BUY,0.41,33955.0,OPEN,1693976508
34,,,,,CLOSED,1693978808
35,BTC-USDT,SELL,0.74,34010.0,OPEN,1693976608
36,BTC-USDT,SELL,0.99,34040.0,OPEN,1693976708
37,BTC-USDT,SELL,1.0,34015.0,OPEN,1693976808
37,,,,,CLOSED,1693982808
38,BTC-USDT,SELL,0.33,34015.0,OPEN,1693976908
39,BTC-USDT,BUY,0.42,33975.0,OPEN,1693977008
40,BTC-USDT,BUY,0.23,33985.0,OPEN,1693977108
41,BTC-USDT,SELL,0.6,34020.0,OPEN,1693977208
42,BTC-USDT,SELL,0.36,34050.0,OPEN,1693977308
43,BTC-USDT,BUY,0.47,33950.0,OPEN,1693977408
44,BTC-USDT,SELL,0.19,34040.0,OPEN,1693977508
45,BTC-USDT,BUY,0.37,33990.0,OPEN,1693977608
45,,,,,CLOSED,1693980308
46,BTC-USDT,SELL,0.3,34045.0,OPEN,1693977708
47,BTC-USDT,BUY,0.23,33950.0,OPEN,1693977808
48,BTC-USDT,BUY,0.98,33960.0,OPEN,1693977908
49,BTC-USDT,SELL,0.98,34025.0,OPEN,1693978008
50,BTC-USDT,SELL,0.45,34025.0,OPEN,1693978108
51,BTC-USDT,SELL,0.16,34045.0,OPEN,1693978208
52,BTC-USDT,BUY,0.34,33970.0,OPEN,1693978308
53,BTC-USDT,SELL,0.16,34045.0,OPEN,1693978408
53,,,,,CLOSED,1693976108
54,BTC-USDT,SELL,0.96,34030.0,OPEN,1693978508
55,BTC-USDT,SELL,0.25,34030.0,OPEN,1693978608
56,BTC-USDT,BUY,0.67,33990.0,OPEN,1693978708
56,,,,,CLOSED,1693979808
57,BTC-USDT,SELL,0.9,34045.0,OPEN,1693978808
58,BTC-USDT,SELL,0.81,34050.0,OPEN,1693978908
59,BTC-USDT,SELL,0.1,34025.0,OPEN,1693979008
59,,,,,CLOSED,1693977708
60,BTC-USDT,SELL,0.31,34045.0,OPEN,1693979108
61,BTC-USDT,BUY,0.27,33965.0,OPEN,1693979208
61,,,,,CLOSED,1693983108
62,BTC-USDT,SELL,0.99,34045.0,OPEN,1693979308
63,BTC-USDT,SELL,0.39,34030.0,OPEN,1693979408
64,BTC-USDT,BUY,0.69,33955.0,OPEN,1693979508
65,BTC-USDT,BUY,0.85,33950.0,OPEN,1693979608
66,BTC-USDT,BUY,0.45,33990.0,OPEN,1693979708
66,,,,,CLOSED,1693979708
67,BTC-USDT,BUY,0.43,33965.0,OPEN,1693979808
67,,,,,CLOSED,1693976208
68,BTC-USDT,BUY,0.39,33970.0,OPEN,1693979908
69,BTC-USDT,BUY,0.61,33975.0,OPEN,1693980008
70,BTC-USDT,BUY,0.98,33950.0,OPEN,1693980108
71,BTC-USDT,SELL,0.13,34010.0,OPEN,1693980208
72,BTC-USDT,BUY,0.72,33990.0,OPEN,1693980308
73,BTC-USDT,BUY,0.25,33960.0,OPEN,1693980408
73,,,,,CLOSED,1693976908
74,BTC-USDT,BUY,0.43,33950.0,OPEN,1693980508
74,,,,,CLOSED,1693976608
75,BTC-USDT,BUY,0.74,33975.0,OPEN,1693980608
75,,,,,CLOSED,1693980708
76,BTC-USDT,BUY,0.49,33955.0,OPEN,1693980708
76,,,,,CLOSED,1693977208
77,BTC-USDT,SELL,0.35,34045.0,OPEN,1693980808
78,BTC-USDT,BUY,0.64,33960.0,OPEN,1693980908
79,BTC-USDT,BUY,0.18,33980.0,OPEN,1693981008
79,,,,,CLOSED,1693980108
80,BTC-USDT,BUY,0.12,33975.0,OPEN,1693981108
81,BTC-USDT,SELL,0.29,34020.0,OPEN,1693981208
81,,,,,CLOSED,1693981408
82,BTC-USDT,SELL,0.5,34035.0,OPEN,1693981308
83,BTC-USDT,SELL,0.92,34020.0,OPEN,1693981408
83,,,,,CLOSED,1693973408
84,BTC-USDT,BUY,0.31,33970.0,OPEN,1693981508
85,BTC-USDT,SELL,0.3,34050.0,OPEN,1693981608
85,,,,,CLOSED,1693974408
86,BTC-USDT,SELL,0.71,34015.0,OPEN,1693981708
87,BTC-USDT,BUY,0.47,33970.0,OPEN,1693981808
88,BTC-USDT,BUY,0.11,33960.0,OPEN,1693981908
88,,,,,CLOSED,1693980508
89,BTC-USDT,SELL,0.77,34050.0,OPEN,1693982008
90,BTC-USDT,BUY,1.0,33985.0,OPEN,1693982108
91,BTC-USDT,BUY,0.76,33985.0,OPEN,1693982208
92,BTC-USDT,SELL,0.95,34050.0,OPEN,1693982308
93,BTC-USDT,BUY,0.65,33990.0,OPEN,1693982408
94,BTC-USDT,SELL,0.24,34010.0,OPEN,1693982508
95,BTC-USDT,BUY,0.68,33985.0,OPEN,1693982608
96,BTC-USDT,SELL,0.56,34050.0,OPEN,1693982708
97,BTC-USDT,BUY,0.43,33970.0,OPEN,1693982808
98,BTC-USDT,SELL,0.33,34045.0,OPEN,1693982908
99,BTC-USDT,BUY,0.13,33965.0,OPEN,1693983008
100,BTC-USDT,BUY,0.98,33980.0,OPEN,1693983108
101,BTC-USDT,SELL,0.66,34050.0,OPEN,1693983208
102,BTC-USDT,BUY,0.17,33950.0,OPEN,1693983308
103,BTC-USDT,BUY,0.85,33970.0,OPEN,1693983408
104,BTC-USDT,BUY,0.55,33950.0,OPEN,1693983508
105,BTC-USDT,BUY,0.97,33960.0,OPEN,1693983608
105,,,,,CLOSED,1693979108
106,BTC-USDT,SELL,0.26,34030.0,OPEN,1693983708
107,BTC-USDT,SELL,0.27,34020.0,OPEN,1693983808
108,BTC-USDT,BUY,0.23,33955.0,OPEN,1693983908
109,BTC-USDT,BUY,0.53,33985.0,OPEN,1693984008
109,,,,,CLOSED,1693973208
110,BTC-USDT,BUY,0.93,33975.0,OPEN,1693984108
110,,,,,CLOSED,1693982308
111,BTC-USDT,BUY,0.53,33970.0,OPEN,1693984208
111,,,,,CLOSED,1693974508
112,BTC-USDT,BUY,0.3,33970.0,OPEN,1693984308
113,BTC-USDT,SELL,0.73,34020.0,OPEN,1693984408
114,BTC-USDT,BUY,0.84,33965.0,OPEN,1693984508
115,BTC-USDT,BUY,0.43,33990.0,OPEN,1693984608
116,BTC-USDT,BUY,0.45,33960.0,OPEN,1693984708
117,BTC-USDT,BUY,0.58,33965.0,OPEN,1693984808
118,BTC-USDT,SELL,0.25,34045.0,OPEN,1693984908
119,BTC-USDT,SELL,0.2,34015.0,OPEN,1693985008
120,BTC-USDT,SELL,0.42,34050.0,OPEN,1693985108
120,,,,,CLOSED,1693979108
121,BTC-USDT,BUY,0.54,33955.0,OPEN,1693985208
122,BTC-USDT,BUY,0.7,33990.0,OPEN,1693985308
123,BTC-USDT,SELL,0.24,34020.0,OPEN,1693985408
124,BTC-USDT,SELL,0.88,34045.0,OPEN,1693985508
125,BTC-USDT,BUY,0.68,33970.0,OPEN,1693985608
126,BTC-USDT,BUY,0.17,33965.0,OPEN,1693985708
126,,,,,CLOSED,1693976008
127,BTC-USDT,BUY,0.8,33990.0,OPEN,1693985808
128,BTC-USDT,BUY,0.95,33975.0,OPEN,1693985908
128,,,,,CLOSED,1693974108
129,BTC-USDT,BUY,0.54,33965.0,OPEN,1693986008
130,BTC-USDT,SELL,0.84,34010.0,OPEN,1693986108
131,BTC-USDT,BUY,0.67,33990.0,OPEN,1693986208
131,,,,,CLOSED,1693974408
132,BTC-USDT,BUY,0.53,33950.0,OPEN,1693986308
133,BTC-USDT,SELL,0.4,34050.0,OPEN,1693986408
134,BTC-USDT,BUY,0.27,33975.0,OPEN,1693986508
135,BTC-USDT,BUY,0.42,33960.0,OPEN,1693986608
136,BTC-USDT,BUY,0.87,33960.0,OPEN,1693986708
137,BTC-USDT,BUY,0.87,33950.0,OPEN,1693986808
137,,,,,CLOSED,1693981508
138,BTC-USDT,BUY,0.38,33980.0,OPEN,1693986908
138,,,,,CLOSED,1693978408
139,BTC-USDT,BUY,0.44,33980.0,OPEN,1693987008
140,BTC-USDT,BUY,0.5,33980.0,OPEN,1693987108
141,BTC-USDT,BUY,0.34,33965.0,OPEN,1693987208
141,,,,,CLOSED,1693979608
142,BTC-USDT,SELL,0.94,34050.0,OPEN,1693987308
143,BTC-USDT,BUY,0.77,33950.0,OPEN,1693987408
144,BTC-USDT,SELL,0.68,34035.0,OPEN,1693987508
145,BTC-USDT,SELL,0.59,34015.0,OPEN,1693987608
146,BTC-USDT,SELL,0.97,34045.0,OPEN,1693987708
147,BTC-USDT,BUY,0.54,33960.0,OPEN,1693987808
148,BTC-USDT,SELL,0.79,34025.0,OPEN,1693987908
149,BTC-USDT,SELL,0.9,34030.0,OPEN,1693988008
149,,,,,CLOSED,1693981808
150,BTC-USDT,BUY,0.5,33955.0,OPEN,1693988108
151,BTC-USDT,BUY,0.21,33970.0,OPEN,1693988208
152,BTC-USDT,SELL,0.9,34025.0,OPEN,1693988308
153,BTC-USDT,BUY,0.11,33965.0,OPEN,1693988408
153,,,,,CLOSED,1693980908
154,BTC-USDT,SELL,0.67,34015.0,OPEN,1693988508
155,BTC-USDT,SELL,0.6,34050.0,OPEN,1693988608
155,,,,,CLOSED,1693979908
156,BTC-USDT,SELL,0.16,34040.0,OPEN,1693988708
157,BTC-USDT,BUY,0.69,33985.0,OPEN,1693988808
158,BTC-USDT,SELL,0.12,34030.0,OPEN,1693988908
159,BTC-USDT,BUY,0.45,33990.0,OPEN,1693989008
160,BTC-USDT,BUY,0.61,33985.0,OPEN,1693989108
160,,,,,CLOSED,1693973908
161,BTC-USDT,BUY,0.68,33975.0,OPEN,1693989208
161,,,,,CLOSED,1693976508
162,BTC-USDT,BUY,0.89,33970.0,OPEN,1693989308
163,BTC-USDT,SELL,0.88,34035.0,OPEN,1693989408
164,BTC-USDT,BUY,0.4,33975.0,OPEN,1693989508
165,BTC-USDT,SELL,0.25,34045.0,OPEN,1693989608
165,,,,,CLOSED,1693981908
166,BTC-USDT,BUY,0.35,33990.0,OPEN,1693989708
167,BTC-USDT,BUY,0.31,33955.0,OPEN,1693989808
168,BTC-USDT,BUY,0.8,33985.0,OPEN,1693989908
169,BTC-USDT,SELL,0.73,34025.0,OPEN,1693990008
170,BTC-USDT,BUY,0.57,33955.0,OPEN,1693990108
170,,,,,CLOSED,1693976308
171,BTC-USDT,BUY,0.83,33955.0,OPEN,1693990208
172,BTC-USDT,SELL,0.58,34015.0,OPEN,1693990308
173,BTC-USDT,SELL,0.52,34035.0,OPEN,1693990408
174,BTC-USDT,BUY,0.83,33970.0,OPEN,1693990508
174,,,,,CLOSED,1693974508
175,BTC-USDT,SELL,0.64,34025.0,OPEN,1693990608
176,BTC-USDT,BUY,0.17,33975.0,OPEN,1693990708
176,,,,,CLOSED,1693974808
177,BTC-USDT,SELL,0.84,34020.0,OPEN,1693990808
178,BTC-USDT,SELL,0.12,34030.0,OPEN,1693990908
179,BTC-USDT,SELL,0.19,34030.0,OPEN,1693991008
180,BTC-USDT,SELL,0.65,34015.0,OPEN,1693991108
180,,,,,CLOSED,1693979308
181,BTC-USDT,BUY,0.17,33985.0,OPEN,1693991208
182,BTC-USDT,BUY,0.53,33985.0,OPEN,1693991308
182,,,,,CLOSED,1693977808
183,BTC-USDT,SELL,0.24,34010.0,OPEN,1693991408
184,BTC-USDT,BUY,0.87,33980.0,OPEN,1693991508
184,,,,,CLOSED,1693981608
185,BTC-USDT,SELL,0.17,34045.0,OPEN,1693991608
186,BTC-USDT,BUY,0.57,33970.0,OPEN,1693991708
186,,,,,CLOSED,1693974808
187,BTC-USDT,SELL,0.12,34045.0,OPEN,1693991808
188,BTC-USDT,BUY,0.42,33985.0,OPEN,1693991908
189,BTC-USDT,BUY,0.56,33950.0,OPEN,1693992008
190,BTC-USDT,SELL,0.19,34020.0,OPEN,1693992108
190,,,,,CLOSED,1693978808
191,BTC-USDT,SELL,0.16,34020.0,OPEN,1693992208
191,,,,,CLOSED,1693979408
192,BTC-USDT,SELL,0.36,34020.0,OPEN,1693992308
193,BTC-USDT,BUY,0.61,33960.0,OPEN,1693992408
193,,,,,CLOSED,1693982708
194,BTC-USDT,SELL,0.11,34050.0,OPEN,1693992508
194,,,,,CLOSED,1693978708
195,BTC-USDT,SELL,0.39,34030.0,OPEN,1693992608
196,BTC-USDT,SELL,0.57,34035.0,OPEN,1693992708
196,,,,,CLOSED,1693979708
197,BTC-USDT,SELL,0.65,34025.0,OPEN,1693992808
198,BTC-USDT,SELL,0.34,34030.0,OPEN,1693992908
198,,,,,CLOSED,1693974708
199,BTC-USDT,BUY,0.72,33950.0,OPEN,1693993008
200,BTC-USDT,SELL,0.5,34035.0,OPEN,1693993108
201,BTC-USDT,BUY,0.44,33950.0,OPEN,1693993208
202,BTC-USDT,SELL,0.81,34045.0,OPEN,1693993308
202,,,,,CLOSED,1693975008
203,BTC-USDT,SELL,0.38,34010.0,OPEN,1693993408
204,BTC-USDT,BUY,0.45,33975.0,OPEN,1693993508
205,BTC-USDT,BUY,0.91,33955.0,OPEN,1693993608
206,BTC-USDT,SELL,0.46,34010.0,OPEN,1693993708
206,,,,,CLOSED,1693975208
207,BTC-USDT,BUY,0.52,33975.0,OPEN,1693993808
207,,,,,CLOSED,1693982608
208,BTC-USDT,SELL,0.7,34025.0,OPEN,1693993908
209,BTC-USDT,BUY,0.98,33955.0,OPEN,1693994008
210,BTC-USDT,BUY,0.32,33985.0,OPEN,1693994108
210,,,,,CLOSED,1693983108
211,BTC-USDT,BUY,0.43,33955.0,OPEN,1693994208
212,BTC-USDT,BUY,0.92,33965.0,OPEN,1693994308
213,BTC-USDT,SELL,0.32,34035.0,OPEN,1693994408
213,,,,,CLOSED,1693980808
214,BTC-USDT,BUY,0.43,33960.0,OPEN,1693994508
215,BTC-USDT,BUY,0.73,33975.0,OPEN,1693994608
216,BTC-USDT,SELL,0.19,34030.0,OPEN,1693994708
217,BTC-USDT,BUY,0.84,33980.0,OPEN,1693994808
218,BTC-USDT,BUY,0.45,33985.0,OPEN,1693994908
218,,,,,CLOSED,1693975308
219,BTC-USDT,BUY,0.65,33985.0,OPEN,1693995008
220,BTC-USDT,SELL,0.88,34040.0,OPEN,1693995108
221,BTC-USDT,BUY,0.53,33950.0,OPEN,1693995208
221,,,,,CLOSED,1693976208
222,BTC-USDT,SELL,0.7,34025.0,OPEN,1693995308
223,BTC-USDT,SELL,0.89,34025.0,OPEN,1693995408
224,BTC-USDT,BUY,0.44,33970.0,OPEN,1693995508
225,BTC-USDT,BUY,0.98,33955.0,OPEN,1693995608
225,,,,,CLOSED,1693977808
226,BTC-USDT,BUY,0.81,33970.0,OPEN,1693995708
227,BTC-USDT,SELL,0.72,34035.0,OPEN,1693995808
227,,,,,CLOSED,1693975208
228,BTC-USDT,SELL,0.78,34050.0,OPEN,1693995908
229,BTC-USDT,SELL,0.53,34015.0,OPEN,1693996008
229,,,,,CLOSED,1693982308
230,BTC-USDT,BUY,0.31,33990.0,OPEN,1693996108
231,BTC-USDT,BUY,0.81,33950.0,OPEN,1693996208
232,BTC-USDT,SELL,0.75,34040.0,OPEN,1693996308
232,,,,,CLOSED,1693974608
233,BTC-USDT,SELL,0.36,34045.0,OPEN,1693996408
234,BTC-USDT,SELL,0.52,34045.0,OPEN,1693996508
234,,,,,CLOSED,1693980608
235,BTC-USDT,SELL,0.6,34035.0,OPEN,1693996608
236,BTC-USDT,BUY,0.11,33960.0,OPEN,1693996708
237,BTC-USDT,BUY,0.54,33980.0,OPEN,1693996808
237,,,,,CLOSED,1693979608
238,BTC-USDT,BUY,0.82,33975.0,OPEN,1693996908
239,BTC-USDT,SELL,0.91,34030.0,OPEN,1693997008
240,BTC-USDT,BUY,0.5,33990.0,OPEN,1693997108
241,BTC-USDT,BUY,1.0,33955.0,OPEN,1693997208
242,BTC-USDT,SELL,0.51,34035.0,OPEN,1693997308
242,,,,,CLOSED,1693982208
243,BTC-USDT,BUY,0.87,33990.0,OPEN,1693997408
244,BTC-USDT,BUY,0.18,33960.0,OPEN,1693997508
245,BTC-USDT,SELL,0.22,34015.0,OPEN,1693997608
245,,,,,CLOSED,1693974408
246,BTC-USDT,SELL,0.4,34010.0,OPEN,1693997708
246,,,,,CLOSED,1693975508
247,BTC-USDT,SELL,0.37,34025.0,OPEN,1693997808
248,BTC-USDT,SELL,0.18,34015.0,OPEN,1693997908
249,BTC-USDT,SELL,0.52,34035.0,OPEN,1693998008
250,BTC-USDT,SELL,0.91,34025.0,OPEN,1693998108
251,BTC-USDT,BUY,0.63,33965.0,OPEN,1693998208
252,BTC-USDT,SELL,0.62,34020.0,OPEN,1693998308
252,,,,,CLOSED,1693975208
253,BTC-USDT,SELL,0.43,34035.0,OPEN,1693998408
254,BTC-USDT,BUY,0.5,33990.0,OPEN,1693998508
255,BTC-USDT,BUY,0.93,33975.0,OPEN,1693998608
255,,,,,CLOSED,1693974908
256,BTC-USDT,BUY,0.15,33970.0,OPEN,1693998708
257,BTC-USDT,BUY,0.68,33990.0,OPEN,1693998808
257,,,,,CLOSED,1693974108
258,BTC-USDT,SELL,0.16,34020.0,OPEN,1693998908
259,BTC-USDT,BUY,0.11,33955.0,OPEN,1693999008
260,BTC-USDT,SELL,0.91,34035.0,OPEN,1693999108
261,BTC-USDT,SELL,0.33,34030.0,OPEN,1693999208
262,BTC-USDT,SELL,0.6,34015.0,OPEN,1693999308
263,BTC-USDT,BUY,0.53,33975.0,OPEN,1693999408
264,BTC-USDT,BUY,0.67,33970.0,OPEN,1693999508
265,BTC-USDT,SELL,0.34,34045.0,OPEN,1693999608
266,BTC-USDT,BUY,0.96,33975.0,OPEN,1693999708
267,BTC-USDT,SELL,0.85,34030.0,OPEN,1693999808
267,,,,,CLOSED,1693982608
268,BTC-USDT,SELL,0.4,34035.0,OPEN,1693999908
268,,,,,CLOSED,1693978208
269,BTC-USDT,SELL,0.15,34025.0,OPEN,1694000008
270,BTC-USDT,SELL,0.18,34025.0,OPEN,1694000108
271,BTC-USDT,SELL,0.38,34010.0,OPEN,1694000208
272,BTC-USDT,BUY,0.65,33980.0,OPEN,1694000308
273,BTC-USDT,SELL,0.21,34020.0,OPEN,1694000408
274,BTC-USDT,SELL,0.22,34035.0,OPEN,1694000508
275,BTC-USDT,BUY,0.42,33980.0,OPEN,1694000608
276,BTC-USDT,SELL,0.89,34045.0,OPEN,1694000708
276,,,,,CLOSED,1693979808
277,BTC-USDT,BUY,0.94,33950.0,OPEN,1694000808
278,BTC-USDT,SELL,0.34,34015.0,OPEN,1694000908
279,BTC-USDT,BUY,0.69,33975.0,OPEN,1694001008
280,BTC-USDT,BUY,0.36,33950.0,OPEN,1694001108
280,,,,,CLOSED,1693975608
281,BTC-USDT,BUY,0.47,33955.0,OPEN,1694001208
282,BTC-USDT,SELL,0.26,34045.0,OPEN,1694001308
283,BTC-USDT,BUY,0.54,33975.0,OPEN,1694001408
284,BTC-USDT,SELL,0.37,34040.0,OPEN,1694001508
284,,,,,CLOSED,1693977608
285,BTC-USDT,BUY,0.6,33950.0,OPEN,1694001608
286,BTC-USDT,BUY,0.29,33975.0,OPEN,1694001708
287,BTC-USDT,SELL,0.43,34040.0,OPEN,1694001808
288,BTC-USDT,SELL,0.27,34045.0,OPEN,1694001908
289,BTC-USDT,SELL,0.35,34040.0,OPEN,1694002008
289,,,,,CLOSED,1693976708
290,BTC-USDT,SELL,0.34,34035.0,OPEN,1694002108
291,BTC-USDT,BUY,0.69,33990.0,OPEN,1694002208
291,,,,,CLOSED,1693976708
292,BTC-USDT,BUY,0.99,33980.0,OPEN,1694002308
293,BTC-USDT,BUY,0.88,33985.0,OPEN,1694002408
293,,,,,CLOSED,1693982908
294,BTC-USDT,BUY,0.98,33965.0,OPEN,1694002508
295,BTC-USDT,BUY,0.2,33955.0,OPEN,1694002608
296,BTC-USDT,SELL,0.6,34010.0,OPEN,1694002708
296,,,,,CLOSED,1693980308
297,BTC-USDT,BUY,0.11,33970.0,OPEN,1694002808
298,BTC-USDT,SELL,0.44,34010.0,OPEN,1694002908
298,,,,,CLOSED,1693975808
299,BTC-USDT,BUY,0.34,33975.0,OPEN,1694003008
299,,,,,CLOSED,1693980508
300,BTC-USDT,SELL,0.31,34025.0,OPEN,1694003108
301,BTC-USDT,BUY,0.7,33980.0,OPEN,1694003208
302,BTC-USDT,SELL,0.72,34045.0,OPEN,1694003308
302,,,,,CLOSED,1693976108
303,BTC-USDT,SELL,0.52,34025.0,OPEN,1694003408
303,,,,,CLOSED,1693980508
304,BTC-USDT,SELL,0.85,34045.0,OPEN,1694003508
305,BTC-USDT,BUY,0.42,33960.0,OPEN,1694003608
306,BTC-USDT,BUY,0.41,33950.0,OPEN,1694003708
307,BTC-USDT,SELL,0.32,34010.0,OPEN,1694003808
308,BTC-USDT,SELL,0.26,34045.0,OPEN,1694003908
308,,,,,CLOSED,1693976108
309,BTC-USDT,SELL,0.74,34035.0,OPEN,1694004008
310,BTC-USDT,SELL,0.97,34010.0,OPEN,1694004108
311,BTC-USDT,SELL,0.79,34040.0,OPEN,1694004208
312,BTC-USDT,SELL,0.26,34015.0,OPEN,1694004308
312,,,,,CLOSED,1693976408
313,BTC-USDT,BUY,0.6,33965.0,OPEN,1694004408
314,BTC-USDT,BUY,0.64,33975.0,OPEN,1694004508
315,BTC-USDT,SELL,0.61,34045.0,OPEN,1694004608
315,,,,,CLOSED,1693975708
316,BTC-USDT,BUY,0.27,33960.0,OPEN,1694004708
316,,,,,CLOSED,1693979508
317,BTC-USDT,BUY,0.96,33975.0,OPEN,1694004808
318,BTC-USDT,SELL,0.57,34050.0,OPEN,1694004908
319,BTC-USDT,BUY,0.53,33990.0,OPEN,1694005008
319,,,,,CLOSED,1693982408
320,BTC-USDT,SELL,0.58,34045.0,OPEN,1694005108
321,BTC-USDT,SELL,0.32,34045.0,OPEN,1694005208
322,BTC-USDT,BUY,0.66,33985.0,OPEN,1694005308
323,BTC-USDT,BUY,0.45,33975.0,OPEN,1694005408
324,BTC-USDT,SELL,0.48,34045.0,OPEN,1694005508
325,BTC-USDT,BUY,0.53,33980.0,OPEN,1694005608
325,,,,,CLOSED,1693973808
326,BTC-USDT,BUY,0.55,33980.0,OPEN,1694005708
326,,,,,CLOSED,1693983008
327,BTC-USDT,SELL,0.61,34020.0,OPEN,1694005808
328,BTC-USDT,SELL,0.85,34010.0,OPEN,1694005908
329,BTC-USDT,SELL,0.38,34045.0,OPEN,1694006008
330,BTC-USDT,SELL,0.74,34010.0,OPEN,1694006108
330,,,,,CLOSED,1693978808
331,BTC-USDT,SELL,0.31,34025.0,OPEN,1694006208
332,BTC-USDT,BUY,1.0,33970.0,OPEN,1694006308
332,,,,,CLOSED,1693976608
333,BTC-USDT,BUY,0.13,33985.0,OPEN,1694006408
333,,,,,CLOSED,1693976708
334,BTC-USDT,BUY,0.5,33980.0,OPEN,1694006508
335,BTC-USDT,SELL,0.46,34050.0,OPEN,1694006608
336,BTC-USDT,SELL,0.97,34020.0,OPEN,1694006708
337,BTC-USDT,SELL,0.74,34035.0,OPEN,1694006808
338,BTC-USDT,BUY,0.77,33975.0,OPEN,1694006908
339,BTC-USDT,SELL,0.16,34020.0,OPEN,1694007008
339,,,,,CLOSED,1693977608
340,BTC-USDT,BUY,0.56,33980.0,OPEN,1694007108
341,BTC-USDT,SELL,0.2,34050.0,OPEN,1694007208
342,BTC-USDT,BUY,0.51,33960.0,OPEN,1694007308
343,BTC-USDT,SELL,0.3,34020.0,OPEN,1694007408
343,,,,,CLOSED,1693978208
344,BTC-USDT,BUY,0.95,33975.0,OPEN,1694007508
345,BTC-USDT,BUY,0.72,33990.0,OPEN,1694007608
346,BTC-USDT,SELL,0.92,34020.0,OPEN,1694007708
347,BTC-USDT,BUY,0.8,33970.0,OPEN,1694007808
348,BTC-USDT,BUY,0.41,33955.0,OPEN,1694007908
349,BTC-USDT,BUY,0.24,33960.0,OPEN,1694008008
350,BTC-USDT,SELL,0.98,34030.0,OPEN,1694008108
351,BTC-USDT,SELL,0.91,34035.0,OPEN,1694008208
351,,,,,CLOSED,1693974908
352,BTC-USDT,BUY,0.47,33980.0,OPEN,1694008308
353,BTC-USDT,BUY,0.24,33980.0,OPEN,1694008408
354,BTC-USDT,BUY,0.3,33965.0,OPEN,1694008508
354,,,,,CLOSED,1693982008
355,BTC-USDT,SELL,0.75,34020.0,OPEN,1694008608
356,BTC-USDT,SELL,0.7,34040.0,OPEN,1694008708
357,BTC-USDT,SELL,0.98,34015.0,OPEN,1694008808
357,,,,,CLOSED,1693976508
358,BTC-USDT,BUY,0.78,33985.0,OPEN,1694008908
359,BTC-USDT,SELL,0.54,34025.0,OPEN,1694009008
360,BTC-USDT,BUY,0.59,33950.0,OPEN,1694009108
361,BTC-USDT,BUY,0.7,33960.0,OPEN,1694009208
362,BTC-USDT,SELL,0.5,34040.0,OPEN,1694009308
363,BTC-USDT,BUY,0.44,33965.0,OPEN,1694009408
363,,,,,CLOSED,1693975908
364,BTC-USDT,BUY,0.69,33985.0,OPEN,1694009508
365,BTC-USDT,BUY,0.15,33975.0,OPEN,1694009608
366,BTC-USDT,BUY,0.17,33990.0,OPEN,1694009708
